date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:32	122/122	---M-Z	200	added ('OK')	text/plain	date:Sun,%2009%20Feb%202025%2009:08:32%20GMT	https://wegrowinfraventures.com/robots.txt		(from )
14:38:32	155644/155644	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202025%2009:08:32%20GMT	https://wegrowinfraventures.com/	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/index.html	(from )
14:38:33	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-6791d815-c0155a1a959ddeef;gz%22	https://wegrowinfraventures.com/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/themes/hello-elementor/style.min9b70.css	(from https://wegrowinfraventures.com/)
14:38:33	25629/25629	---MCZ	200	added ('OK')	application/rss+xml	etag:%22c851a720751af3cb8bee7dcd8ba5bb36%22	https://wegrowinfraventures.com/feed/	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/feed/index.html	(from https://wegrowinfraventures.com/)
14:38:33	811/811	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c851a720751af3cb8bee7dcd8ba5bb36%22	https://wegrowinfraventures.com/comments/feed/	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/comments/feed/index.html	(from https://wegrowinfraventures.com/)
14:38:33	5069/5069	---M-Z	200	added ('OK')	text/css	etag:%2213cd-6791d815-93986cdc7eaac9e1;gz%22	https://wegrowinfraventures.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/themes/hello-elementor/theme.min9b70.css	(from https://wegrowinfraventures.com/)
14:38:34	7212/7212	---M-Z	200	added ('OK')	text/css	etag:%221c2c-6791d815-86ec0bda50d4e935;gz%22	https://wegrowinfraventures.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/themes/hello-elementor/header-footer.min9b70.css	(from https://wegrowinfraventures.com/)
14:38:34	60575/60575	---M-Z	200	added ('OK')	text/css	etag:%22ec9f-6791df2a-fbef75b1ce571d04;gz%22	https://wegrowinfraventures.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.11	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor/assets/css/frontend.min1ffb.css	(from https://wegrowinfraventures.com/)
14:38:34	2839/2839	---M-Z	200	added ('OK')	text/css	etag:%22b17-679c6e04-49f96e18aa0f232c;gz%22	https://wegrowinfraventures.com/wp-content/uploads/elementor/css/post-24.css?ver=1738305028	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/uploads/elementor/css/post-24488d.css	(from https://wegrowinfraventures.com/)
14:38:34	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-6791df2a-c0278f58414d5dc5;;;%22	https://wegrowinfraventures.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.11	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor/assets/css/widget-image.min1ffb.css	(from https://wegrowinfraventures.com/)
14:38:35	26859/26859	---M-Z	200	added ('OK')	text/css	etag:%2268eb-6790b54c-de2783aee714a113;gz%22	https://wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.27.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.minb175.css	(from https://wegrowinfraventures.com/)
14:38:35	256/256	---M--	200	added ('OK')	text/css	etag:%22100-6791df2a-ffe359b55eddcbb1;;;%22	https://wegrowinfraventures.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css?ver=3.25.11	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min1ffb.css	(from https://wegrowinfraventures.com/)
14:38:35	162/162	---M--	200	added ('OK')	text/css	etag:%22a2-6790b54c-e3d7944193c2743d;;;%22	https://wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.27.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.minb175.css	(from https://wegrowinfraventures.com/)
14:38:35	639/639	---M-Z	200	added ('OK')	text/css	etag:%2227f-6790b54c-84d530956423aa6c;gz%22	https://wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=3.27.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.minb175.css	(from https://wegrowinfraventures.com/)
14:38:36	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-6791df2a-ee5f6f685f6b62a6;gz%22	https://wegrowinfraventures.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.11	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor/assets/css/widget-heading.min1ffb.css	(from https://wegrowinfraventures.com/)
14:38:36	6798/6798	---M-Z	200	added ('OK')	text/css	etag:%221a8e-6790b54c-467518e595fd6dbd;gz%22	https://wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css?ver=3.27.0	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor-pro/assets/css/widget-form.minb175.css	(from https://wegrowinfraventures.com/)
14:38:36	340/340	---M-Z	200	added ('OK')	text/css	etag:%22154-6791df2a-7a91098e47c4ef5;gz%22	https://wegrowinfraventures.com/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min.css?ver=3.25.11	C:/My%20Web%20Sites/Animeria%20Assignment/wegrowinfraventures.com/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min1ffb.css	(from https://wegrowinfraventures.com/)
